Time;GPS4;GPS5;GPS9;GPS11;GPS12;GPS18;GPS20;GPS25;GPS26;GPS28;GPS29;GPS31;GLONASS2;GLONASS3;GLONASS4;GLONASS9;GLONASS10;GLONASS11;GLONASS21;GLONASS25;
24.04.2024 09:20:42.300;0;99.9049155583052;0;-6.65811254151049;118.684115108015;39.0037117360625;41.8711449943803;75.1203951503121;-127.660654745065;-53.8925308010221;-25.4765936286422;-106.445354929077;0;0;0;92.7965303864185;-18.0630079866241;-120.958992976812;-8.22556532471208;0;
24.04.2024 09:20:42.400;0;100.303511244798;0;-7.06287596705079;119.148706105581;39.2083526315546;41.8392066740198;75.4496022949752;-127.933541023463;-53.8990990453021;-25.3872527759522;-106.517280471278;0;0;0;92.6294508348656;-17.3170578301506;-119.918974212778;-10.5427484596585;0;
24.04.2024 09:20:42.500;0;100.008455200543;0;-7.03376518392179;119.387848351937;39.3674505158269;41.6439052395581;75.2740815879079;-127.874480567407;-53.9158985254617;-25.2360645672306;-106.578738380456;0;0;0;92.7611568902939;-16.863752874473;-120.379160920042;-10.5610367667978;0;
24.04.2024 09:20:42.600;0;100.069662225927;0;-7.0168295836047;119.345223266762;39.1009131301398;42.0623457512265;75.3589473670581;-128.999777150093;-54.0022454138962;-25.2652179769357;-106.326295591498;0;0;0;91.8821943768853;-17.1011748498568;-119.748708388375;-9.35903716376924;0;
24.04.2024 09:20:42.700;0;99.8943999010808;0;-7.23305963916937;119.744188823985;38.8412960180722;41.9771584327391;75.3752836251078;-129.34493852286;-53.926443031989;-25.4198945924727;-106.601513095549;0;0;0;91.5523443266575;-16.87126803516;-119.351841091382;-8.6357131190889;0;
24.04.2024 09:20:42.800;0;100.245211410394;0;-7.54348054088769;119.626476729187;39.1532797016407;41.9770073368272;75.7258831340441;-129.310613896392;-53.4295992368861;-25.3572600178304;-106.437988166654;0;0;0;91.0741584204807;-17.1173086925701;-120.791373612461;-7.8143925688928;0;
24.04.2024 09:20:42.900;0;100.236852821807;0;-6.71080320863985;119.782685011407;38.4650973328389;42.4027988578746;75.7953140577156;-128.813719468162;-53.3310048102285;-25.2880260323582;-106.238299633944;0;0;0;91.2981935029384;-18.3468030457589;-121.421001752416;-7.83128363302967;0;
24.04.2024 09:20:43.000;0;99.8684682086459;0;-6.70252574028564;119.453481032106;38.3198206097732;42.0515094836592;75.8555321243766;-128.547630244735;-53.5955405167915;-25.1141170713818;-106.839724511505;0;0;0;91.384172721504;-17.0320474297914;-121.439444077972;-7.6619545876747;0;
24.04.2024 09:20:43.100;0;100.217809881928;0;-7.12741847247526;119.278923007267;38.7069571445754;42.1148141100712;75.5752659615682;-128.486863794795;-53.9968628698407;-25.2867204919166;-106.984633199623;0;0;0;91.3455864962889;-16.6911087275075;-120.5663949015;-8.09935414417123;0;
24.04.2024 09:20:43.200;0;100.252093539646;0;-7.4443556460028;119.221536136756;38.5667419631791;42.0425927854667;75.5316162967647;-128.71386382154;-53.8379542483744;-25.2856975089817;-107.262118802581;0;0;0;92.0173582844;-15.997405222588;-120.200384296724;-8.89015945930441;0;
24.04.2024 09:20:43.300;0;99.9882375764573;0;-7.93321408909105;118.731629574148;38.8454480198707;42.0915977884724;75.2918119575043;-127.514889927814;-54.0162645258533;-25.540820309674;-107.118634392536;0;0;0;91.4137877094327;-16.5229196564615;-118.735597020714;-8.98017270391574;0;
24.04.2024 09:20:43.400;0;100.196063483498;0;-7.77920121335774;118.917793475339;38.5201416341442;42.0933013036411;75.0440781461366;-127.699635748038;-54.022790193354;-25.6270278617303;-106.611784699577;0;0;0;91.2790267511446;-16.4755361954449;-119.200574578761;-8.63385430375638;0;
24.04.2024 09:20:43.500;0;99.8262995103869;0;-7.12321872508619;119.036542025307;38.5741397833626;41.6639695153426;75.2351073413593;-127.484339608738;-53.9924371620727;-25.4903571103932;-106.200251675109;0;0;0;91.8918842089624;-17.4141759374761;-120.363172398211;-8.15998976728588;0;
24.04.2024 09:20:43.600;0;99.9682617531653;0;-7.56808805276523;118.858105651336;38.5438365047448;42.1957104801259;75.2004303791764;-127.251663798903;-53.8521838302549;-25.372568548104;-106.686407968562;0;0;0;91.6915087770612;-16.8704740404064;-119.53318634312;-9.32328096391575;0;
24.04.2024 09:20:43.700;0;99.9591956222866;0;-7.25230959794135;118.873929870722;38.4829800912994;42.0814222008048;75.1436914143705;-127.47249588804;-53.5932514859305;-25.3847999690333;-106.673435249264;0;0;0;91.7089737445931;-16.7813059573091;-119.190109269519;-9.90248552715639;0;
24.04.2024 09:20:43.800;0;99.7821846148872;0;-8.03053053944313;118.761309961643;39.1301292557328;41.7478812237678;75.2218544801581;-128.004862697955;-53.7931686772354;-25.5619551794807;-106.717876182593;0;0;0;92.3320843418478;-17.1396043250861;-119.060059697906;-8.66738657823589;0;
24.04.2024 09:20:43.900;0;100.345597585838;0;-7.32753036402573;119.158803547311;39.2081704254815;42.0944636350614;75.5398454950337;-128.477023009109;-53.5135852899984;-25.163548225275;-106.513943641912;0;0;0;92.3946430482465;-18.1402357235929;-120.261261896027;-9.34439558714803;0;
24.04.2024 09:20:44.000;0;99.7742365634622;0;-7.73801478974929;118.811779512165;38.8385195411393;41.7106477909983;75.595514118555;-128.371835340105;-53.6253969358222;-25.096449388162;-106.054140926106;0;0;0;91.2116258160822;-17.6112001790898;-119.857254197748;-7.58803158527007;0;
24.04.2024 09:20:44.100;0;99.8086065538373;0;-7.07178441550059;119.190934413433;38.9372535011644;42.0341504400567;75.6364008729724;-128.883757400807;-53.6082514821464;-25.3139785977837;-106.245128383467;0;0;0;91.3299869976618;-16.9418248377915;-120.79028077524;-8.0823268860695;0;
24.04.2024 09:20:44.200;0;99.5728878355731;0;-6.88819000111835;119.402457687276;38.8683865128696;41.949316684244;75.4732092136546;-128.74509686105;-53.6244641161611;-25.3458890819893;-106.205943136549;0;0;0;91.4631867765856;-15.6618623054092;-121.297992772787;-8.9600064351107;0;
24.04.2024 09:20:44.300;0;100.140978570606;0;-6.36515674661496;119.575902133118;38.8124367928394;42.0773593628692;75.2624734502606;-128.830602890332;-53.5444817888201;-25.119588050351;-106.184770545078;0;0;0;92.0765463091957;-16.9754538195557;-121.436707557805;-9.48893522041908;0;
24.04.2024 09:20:44.400;0;99.9027810374537;0;-7.10679013229674;119.321324076504;38.3464826571872;41.7045584706793;75.2438150131784;-128.25610455811;-53.8152090218209;-25.2588577280985;-106.169832742686;0;0;0;92.0336369596771;-15.5974683656095;-121.344544582258;-9.00379108378547;0;
24.04.2024 09:20:44.500;0;100.135623226495;0;-6.43272696663917;119.178564679707;38.1662553753413;41.3737522590964;74.8868139624828;-128.937057613395;-54.0586931628932;-25.3437748709403;-106.076973906966;0;0;0;91.4096204255766;-16.1444990825694;-119.183565393803;-8.97333893165342;0;
24.04.2024 09:20:44.600;0;99.8538316694903;0;-6.19804492205731;119.484033351619;38.0685388158308;41.5472626916162;74.800691209326;-128.720314317456;-53.9595103542815;-25.7274526232359;-106.115407208752;0;0;0;92.3966260435263;-17.0779681341373;-120.244454088606;-8.10783213280956;0;
24.04.2024 09:20:44.700;0;100.010960262793;0;-6.97213553609618;119.494458152752;38.293381919837;41.9105231447611;74.9856620009232;-128.744868209251;-53.9701325638453;-25.7411387244938;-106.434813545711;0;0;0;91.8770197144913;-17.3363942047145;-119.517473312953;-7.85504909841984;0;
24.04.2024 09:20:44.800;0;99.9851528946456;0;-7.05046182655497;119.436396796358;37.7692410946765;41.8716563706694;75.1946106770774;-128.598293394214;-53.6871250453114;-25.6529346356983;-106.805638744932;0;0;0;91.3065112351469;-15.5090397646272;-118.991529923209;-9.26854573401215;0;
24.04.2024 09:20:44.900;0;100.235735043825;0;-7.61356553847145;119.634268532638;37.9807295367209;42.117830413772;75.473149052792;-128.72363798313;-53.7693890269002;-25.5161594744277;-106.828515420522;0;0;0;91.5911187894526;-16.1940809678053;-119.139651151083;-9.24783180723898;0;
24.04.2024 09:20:45.000;0;99.8155773219623;0;-7.06333462610201;119.473712756138;38.4513912137918;41.8338238963479;75.0810034614406;-128.173346624972;-54.2197076702287;-25.8312526098598;-106.689100769174;0;0;0;92.0625189377897;-17.2717692787119;-119.035267204192;-8.43424880415841;0;
24.04.2024 09:20:45.100;0;99.7411889481591;0;-6.68566860651481;119.455596441621;38.1351677049097;41.8232941853494;75.0316869419185;-128.569078666565;-54.4712595500605;-25.7016211203882;-106.633011097423;0;0;0;92.4301245781535;-18.1153248030023;-117.895706684008;-8.54538827204669;0;
24.04.2024 09:20:45.200;0;99.624981743953;0;-6.81119619306992;119.201323792004;37.9875381423481;41.9264948408963;74.913626700989;-128.760489879249;-54.2580854013795;-25.3649574233132;-106.700075918052;0;0;0;92.3693027588015;-16.6600325293257;-119.118467793698;-8.34996284116642;0;
24.04.2024 09:20:45.300;0;99.8806691502396;0;-6.64246700287913;119.244527693532;37.966532243925;41.9725448828249;74.7508070895419;-128.37583789097;-54.2367306950182;-25.4628163914749;-106.668448009208;0;0;0;91.7301578644838;-17.4027815267764;-118.995124910231;-7.76103249800508;0;
24.04.2024 09:20:45.400;0;100.008454239185;0;-6.34650924411835;119.175347303462;37.7912012208544;42.1901422547089;74.8798520920391;-128.223705094162;-54.3164017923846;-25.4996850261086;-106.795093184031;0;0;0;91.5028633273032;-17.8574349201372;-117.94453095975;-8.56450021661294;0;
24.04.2024 09:20:45.500;0;100.103414091966;0;-6.78758333092264;119.349679998588;38.063270329716;42.0148208736209;75.0660666636977;-128.454843721673;-54.1022285328363;-25.656295053559;-106.346376167319;0;0;0;92.4540332738252;-19.2599948393763;-118.548750117756;-7.89521346804395;0;
24.04.2024 09:20:45.600;0;100.054197863341;0;-6.99179030081723;119.239461468693;38.617426364217;42.0097624009795;75.1081612628332;-129.153623272388;-54.2092145167553;-25.4354192554601;-105.997258238844;0;0;0;91.4983671582158;-17.4737508005492;-119.522103129202;-7.74421700419043;0;
24.04.2024 09:20:45.700;0;100.425484690306;0;-6.7751854343951;119.286458607734;38.3994724660879;42.3379252971645;75.10913637247;-129.386620873032;-54.1086534929636;-25.2916714305902;-106.016482006002;0;0;0;90.5765981660079;-16.970538515161;-118.851916461048;-8.73400738660712;0;
24.04.2024 09:20:45.800;0;100.568438915463;0;-6.50180223908683;119.384459978595;38.3404757348617;42.3324858004344;75.1726354861021;-129.451915506012;-54.1495893767278;-25.3402573681378;-106.582209561384;0;0;0;90.3020184527559;-17.5537792256073;-119.543389640879;-6.97757145036303;0;
24.04.2024 09:20:45.900;0;100.26656745217;0;-6.90078188852931;119.352945451174;38.3048873128282;42.2566179028363;75.1211368033546;-129.431093831896;-54.3716390263871;-25.3389885341021;-106.459939228109;0;0;0;92.6676086609514;-17.9559936032019;-120.320052117182;-7.19127535381995;0;
24.04.2024 09:20:46.000;0;100.505759128268;0;-6.86631531229068;119.476291326602;38.2682972728217;42.2148220175586;75.0591406293825;-128.814936244948;-54.1426666481275;-25.6630321788543;-106.654402862216;0;0;0;91.7760091365344;-17.2752327523922;-120.010144369982;-7.87358914238575;0;
24.04.2024 09:20:46.100;0;100.454518250568;0;-6.61832281242823;119.459628824334;38.8232212489529;42.1490658161056;75.1384699202317;-128.824667759371;-53.7395532198716;-25.4980250260705;-106.186350668038;0;0;0;91.7123299270897;-16.9155979911447;-120.836196125616;-9.11852038471261;0;
24.04.2024 09:20:46.200;0;100.032757758687;0;-6.71056403675175;119.378763919231;38.5165257305489;42.1981108949549;75.1950960254762;-128.979764608477;-53.8269814412488;-25.4277050621749;-106.469946132871;0;0;0;92.0037553455186;-15.8689287118614;-120.060251074683;-9.98086860615876;0;
24.04.2024 09:20:46.300;0;100.107519832192;0;-6.9595224573568;119.567109522468;38.3231775820605;41.8979221858463;75.1786968887318;-128.215322158925;-53.840697937907;-25.3854747775913;-106.206444630967;0;0;0;91.1789434050443;-17.2134525245201;-120.04402544719;-8.38842948197271;0;
